Location,Index
"Seoul, Korea",1.0
"Hong Kong",1.2
"Denver, USA",0.95
"Milan, Italy",1.05
"Barcelona, Spain",0.95
"Las Vegas, USA",0.9
"San Francisco, USA",1.5
"Grapevine, TX, USA",0.85
"San Jose, USA",1.4
"Chicago, USA",1.0
"London, UK",1.3
"Bangkok, Thailand",0.6
"Berlin, Germany",0.95
"Taipei, Taiwan",0.8
"Paris, France",1.2
"Ho Chi Minh, Vietnam",0.55
"Montreal, Canada",0.9
"Tokyo, Japan",1.1
"Singapore",1.2
"Dubai, UAE",1.1
"Amsterdam, Netherlands",1.1
"Lisbon, Portugal",0.8
"Abu Dhabi, UAE",1.05
"Prague, Czech Republic",0.75
"Seattle, USA",1.2
"New York, USA",1.4
"Geneva, Switzerland",1.4
"Boston, USA",1.25
"Munich, Germany",1.05
"Arlington, USA",0.9
"Vilnius, Lithuania",0.7
"Cannes, France",1.15
"Kyoto, Japan",1.0
"Helsinki, Finland",1.1
"Turin, Italy",1.0
"Austin, USA",1.0
"Toronto, Canada",1.1
"San Diego, USA",1.3
"Jakarta, Indonesia",0.6
"Zurich, Switzerland",1.5
"Brooklyn, USA",1.4
"Florence, Italy",1.1
